efid;id;salesArea;score;scoreAlt;smartwayScore;standard;stdText
SBMXJ02.0B4X;47695;3;6.0;-1.0;-1;T3B30;Federal Tier 3 Bin 30
SBMXJ02.0B4X;47695;7;6.0;-1.0;-1;L3SULEV30;California LEV-III SULEV30
SBMXV03.0B07;47696;7;2.0;-1.0;-1;L3ULEV125;California LEV-III ULEV125
SBMXV03.0B07;47696;3;2.0;-1.0;-1;T3B125;Federal Tier 3 Bin 125
SBMXV03.0B07;47697;3;2.0;-1.0;-1;T3B125;Federal Tier 3 Bin 125
SBMXV03.0B07;47697;7;2.0;-1.0;-1;L3ULEV125;California LEV-III ULEV125
SBMXV03.0B07;47698;3;2.0;-1.0;-1;T3B125;Federal Tier 3 Bin 125
SBMXV03.0B07;47698;7;2.0;-1.0;-1;L3ULEV125;California LEV-III ULEV125
SBMXV03.0B07;47699;3;2.0;-1.0;-1;T3B125;Federal Tier 3 Bin 125
SBMXV03.0B07;47699;7;2.0;-1.0;-1;L3ULEV125;California LEV-III ULEV125
SBMXV04.4N63;47700;3;2.0;-1.0;-1;T3B125;Federal Tier 3 Bin 125
SBMXV04.4N63;47700;7;2.0;-1.0;-1;L3ULEV125;California LEV-III ULEV125
SBMXV04.4N63;47701;3;2.0;-1.0;-1;T3B125;Federal Tier 3 Bin 125
SBMXV04.4N63;47701;7;2.0;-1.0;-1;L3ULEV125;California LEV-III ULEV125
SBMXV04.4SM5;47702;7;2.0;-1.0;-1;L3ULEV125;California LEV-III ULEV125
SBMXV04.4SM5;47702;3;2.0;-1.0;-1;T3B125;Federal Tier 3 Bin 125
SBMXV04.4SM5;47703;3;2.0;-1.0;-1;T3B125;Federal Tier 3 Bin 125
SBMXV04.4SM5;47703;7;2.0;-1.0;-1;L3ULEV125;California LEV-III ULEV125
SHYXV03.3GK7;47704;7;4.0;-1.0;-1;L3ULEV70;California LEV-III ULEV70
SHYXV03.3GK7;47704;3;4.0;-1.0;-1;T3B70;Federal Tier 3 Bin 70
SHYXV03.3GK7;47705;7;4.0;-1.0;-1;L3ULEV70;California LEV-III ULEV70
SHYXV03.3GK7;47705;3;4.0;-1.0;-1;T3B70;Federal Tier 3 Bin 70
SHYXV02.5GP5;47706;7;5.0;-1.0;-1;L3ULEV50;California LEV-III ULEV50
SHYXV02.5GP5;47706;3;5.0;-1.0;-1;T3B50;Federal Tier 3 Bin 50
SHYXV02.5GP5;47707;3;5.0;-1.0;-1;T3B50;Federal Tier 3 Bin 50
SHYXV02.5GP5;47707;7;5.0;-1.0;-1;L3ULEV50;California LEV-III ULEV50
STYXV02.0H3A;47708;3;6.0;-1.0;-1;T3B30;Federal Tier 3 Bin 30
STYXV02.0H3A;47708;7;6.0;-1.0;-1;OT;Other
STYXV02.0H3A;47709;3;6.0;-1.0;-1;T3B30;Federal Tier 3 Bin 30
STYXV02.0H3A;47709;7;6.0;-1.0;-1;OT;Other
STYXV02.0H3A;47710;7;6.0;-1.0;-1;OT;Other
STYXV02.0H3A;47710;3;6.0;-1.0;-1;T3B30;Federal Tier 3 Bin 30
STYXV02.0H3A;47711;7;6.0;-1.0;-1;OT;Other
STYXV02.0H3A;47711;3;6.0;-1.0;-1;T3B30;Federal Tier 3 Bin 30
